CohortGroup,CohortPeriod,quarter,TotalUsers,TotalOrders,revenue,profit
2011-4,2,2012-1,425,467,55291.40999999976,13271.040000000003
2011-4,3,2012-2,309,331,38174.08000000001,8479.520000000006
2011-4,4,2012-3,269,287,26753.610000000113,6815.780000000004
2011-4,5,2012-4,227,236,21551.560000000078,5694.360000000003
2011-4,6,2013-1,135,147,13879.260000000026,3890.3599999999983
2011-4,7,2013-2,145,150,17632.040000000034,3689.1599999999994
2011-4,8,2013-3,122,133,19497.750000000025,4726.839999999999
2011-4,9,2013-4,96,105,11817.090000000002,2321.41
2011-4,10,2014-1,84,90,9183.840000000002,2343.000000000002
2011-4,11,2014-2,106,111,12765.82000000001,2724.330000000001
2011-4,12,2014-3,70,78,9162.979999999996,2071.89
2011-4,13,2014-4,88,95,13555.32000000001,3056.4900000000007
2011-4,14,2015-1,67,72,10609.639999999996,2500.3500000000004
2011-4,15,2015-2,61,68,10837.890000000003,2278.320000000001
2011-4,16,2015-3,76,92,11754.640000000007,2334.989999999999
2011-4,17,2015-4,33,41,4823.959999999997,1044.3999999999999
2011-4,18,2016-1,50,58,6762.529999999995,1394.2600000000002
2011-4,19,2016-2,47,56,7040.279999999995,1687.97
2011-4,20,2016-3,47,51,4380.989999999997,968.4800000000004
2011-4,21,2016-4,39,43,5490.249999999995,1186.04
2011-4,22,2017-1,32,37,5477.259999999998,1126.0200000000002
2011-4,23,2017-2,35,40,6149.779999999998,1596.86
2011-4,24,2017-3,1,1,237.89,23.62
2012-1,1,2012-1,2823,3796,441934.5900000199,97277.69000000005
2012-1,2,2012-2,494,528,57547.02999999977,13983.220000000012
2012-1,3,2012-3,311,332,33743.20000000011,8590.030000000008
2012-1,4,2012-4,213,232,33304.9300000001,8086.890000000009
2012-1,5,2013-1,179,192,37109.26999999995,7322.579999999999
2012-1,6,2013-2,133,144,17265.93000000003,4785.270000000001
2012-1,7,2013-3,134,139,22822.28000000003,5101.869999999998
2012-1,8,2013-4,112,121,12724.060000000003,2652.920000000001
2012-1,9,2014-1,99,108,13601.330000000009,2775.309999999999
2012-1,10,2014-2,107,114,15035.830000000007,3963.280000000001
2012-1,11,2014-3,81,90,11940.690000000006,3595.8900000000012
2012-1,12,2014-4,83,88,8802.979999999998,2225.7499999999995
2012-1,13,2015-1,70,77,9709.309999999998,2903.7900000000004
2012-1,14,2015-2,91,99,12357.720000000005,3001.670000000001
2012-1,15,2015-3,75,84,11219.900000000007,2836.620000000001
2012-1,16,2015-4,48,51,7924.559999999996,1723.2099999999994
2012-1,17,2016-1,49,52,7656.139999999995,2036.9299999999996
2012-1,18,2016-2,45,48,5368.269999999996,1158.4999999999998
2012-1,19,2016-3,54,58,6343.779999999994,1395.7800000000004
2012-1,20,2016-4,47,50,5628.5999999999985,1115.99
2012-1,21,2017-1,41,41,6046.029999999996,1451.3
2012-1,22,2017-2,49,55,7653.459999999996,1475.31
2012-1,23,2017-3,4,4,304.84,74.22
2012-2,1,2012-2,3518,4915,636189.2700000018,135401.58000000016
2012-2,2,2012-3,676,729,83702.35999999933,20008.56999999998
2012-2,3,2012-4,280,300,35162.93000000004,8119.720000000002
2012-2,4,2013-1,173,184,25169.290000000055,6792.6100000000015
2012-2,5,2013-2,204,211,24897.970000000074,5669.069999999998
2012-2,6,2013-3,186,198,31691.36000000007,6000.449999999998
2012-2,7,2013-4,142,149,22333.100000000046,4312.409999999999
2012-2,8,2014-1,115,124,16056.960000000014,3785.469999999999
2012-2,9,2014-2,139,149,15458.17000000002,3979.3600000000033
2012-2,10,2014-3,127,134,17088.07000000001,4680.67
2012-2,11,2014-4,107,118,15287.59000000001,3679.420000000002
2012-2,12,2015-1,98,102,10511.88,2918.9700000000016
